hip_pitch,knee,torso_height,torso_pitch,knee_forward,com_to_wheel,geometric_height,knee_forward_ok,torso_upright,com_near_wheel,full_static,analytic_height,analytic_knee_forward,target_height,com_tolerance
-0.5,1.4114093959731546,0.32418265110614297,0.0,0.12464990986299215,0.3090148033539538,False,True,True,False,False,0.39970854282193663,-0.12465064003709278,0.5,0.03
-0.5,1.4328859060402688,0.31853669925752454,0.0,0.12464990986299215,0.30719998349579025,False,True,True,False,False,0.39491653301475393,-0.12465064003709278,0.5,0.03
-0.5,1.4543624161073827,0.31293649300770837,0.0,0.12464990986299215,0.30527926223475815,False,True,True,False,False,0.39004761658819387,-0.12465064003709278,0.5,0.03
-0.5,1.4758389261744969,0.30738461529925737,0.0,0.12464990986299215,0.3032535254512115,False,True,True,False,False,0.3851040391973112,-0.12465064003709278,0.5,0.03
-0.5,1.497315436241611,0.30188362678451097,0.0,0.12464990986299215,0.30112370746105294,False,True,True,False,False,0.3800880809324963,-0.12465064003709278,0.5,0.03
-0.5,1.518791946308725,0.2964360646445549,0.0,0.12464990986299215,0.29889079058480633,False,True,True,False,False,0.37500205526784613,-0.12465064003709278,0.5,0.03
-0.5,1.540268456375839,0.29104444141901487,0.0,0.12464990986299215,0.29655580469454784,False,True,True,False,False,0.3698483079941365,-0.12465064003709278,0.5,0.03
-0.5,1.5617449664429532,0.28571124384721625,0.0,0.12464990986299215,0.2941198267389055,False,True,True,False,False,0.3646292161368908,-0.12465064003709278,0.5,0.03
-0.5,1.5832214765100674,0.2804389317212432,0.0,0.12464990986299215,0.29158398024634646,False,True,True,False,False,0.3593471868600411,-0.12465064003709278,0.5,0.03
-0.5,1.6046979865771815,0.27522993675142704,0.0,0.12464990986299215,0.2889494348069793,False,True,True,False,False,0.3540046563556897,-0.12465064003709278,0.5,0.03
-0.5,1.6261744966442957,0.2700866614447858,0.0,0.12464990986299215,0.2862174055331133,False,True,True,False,False,0.34860408872048176,-0.12465064003709278,0.5,0.03
-0.5,1.6476510067114098,0.265011477996933,0.0,0.12464990986299215,0.2833891524988204,False,True,True,False,False,0.3431479748191081,-0.12465064003709278,0.5,0.03
-0.5,1.6691275167785236,0.26000672719796764,0.0,0.12464990986299215,0.2804659801587605,False,True,True,False,False,0.33763883113546134,-0.12465064003709278,0.5,0.03
-0.5,1.6906040268456377,0.255074717352848,0.0,0.12464990986299215,0.27744923674653743,False,True,True,False,False,0.3320791986119763,-0.12465064003709278,0.5,0.03
